Human_BIP number	Human_Gene stable ID	Human_Chromosome/scaffold name	Human_Gene start (bp)	Human_Gene end (bp)	Human_Strand	Human_Gene description	Human_Gene name	Human_Gene type	Human_Gene stable ID.1	Human_Chromosome/scaffold name.1	Human_Gene start (bp).1	Human_Gene end (bp).1	Human_Strand.1	Human_Gene description.1	Human_Gene name.1	Human_Gene type.1	Human_distance	Crab-Eating_Macaque_BIP number	Crab-Eating_Macaque_Gene stable ID	Crab-Eating_Macaque_Chromosome/scaffold name	Crab-Eating_Macaque_Gene start (bp)	Crab-Eating_Macaque_Gene end (bp)	Crab-Eating_Macaque_Strand	Crab-Eating_Macaque_Gene description	Crab-Eating_Macaque_Gene name	Crab-Eating_Macaque_Gene type	Crab-Eating_Macaque_Gene stable ID.1	Crab-Eating_Macaque_Chromosome/scaffold name.1	Crab-Eating_Macaque_Gene start (bp).1	Crab-Eating_Macaque_Gene end (bp).1	Crab-Eating_Macaque_Strand.1	Crab-Eating_Macaque_Gene description.1	Crab-Eating_Macaque_Gene name.1	Crab-Eating_Macaque_Gene type.1	Crab-Eating_Macaque_distance	Mouse_Lemur_BIP number	Mouse_Lemur_Gene stable ID	Mouse_Lemur_Chromosome/scaffold name	Mouse_Lemur_Gene start (bp)	Mouse_Lemur_Gene end (bp)	Mouse_Lemur_Strand	Mouse_Lemur_Gene description	Mouse_Lemur_Gene name	Mouse_Lemur_Gene type	Mouse_Lemur_Gene stable ID.1	Mouse_Lemur_Chromosome/scaffold name.1	Mouse_Lemur_Gene start (bp).1	Mouse_Lemur_Gene end (bp).1	Mouse_Lemur_Strand.1	Mouse_Lemur_Gene description.1	Mouse_Lemur_Gene name.1	Mouse_Lemur_Gene type.1	Mouse_Lemur_distance	Bonobo_BIP number	Bonobo_Gene stable ID	Bonobo_Chromosome/scaffold name	Bonobo_Gene start (bp)	Bonobo_Gene end (bp)	Bonobo_Strand	Bonobo_Gene description	Bonobo_Gene name	Bonobo_Gene type	Bonobo_Gene stable ID.1	Bonobo_Chromosome/scaffold name.1	Bonobo_Gene start (bp).1	Bonobo_Gene end (bp).1	Bonobo_Strand.1	Bonobo_Gene description.1	Bonobo_Gene name.1	Bonobo_Gene type.1	Bonobo_distance	Gorilla_BIP number	Gorilla_Gene stable ID	Gorilla_Chromosome/scaffold name	Gorilla_Gene start (bp)	Gorilla_Gene end (bp)	Gorilla_Strand	Gorilla_Gene description	Gorilla_Gene name	Gorilla_Gene type	Gorilla_Gene stable ID.1	Gorilla_Chromosome/scaffold name.1	Gorilla_Gene start (bp).1	Gorilla_Gene end (bp).1	Gorilla_Strand.1	Gorilla_Gene description.1	Gorilla_Gene name.1	Gorilla_Gene type.1	Gorilla_distance	Chimpanzee_BIP number	Chimpanzee_Gene stable ID	Chimpanzee_Chromosome/scaffold name	Chimpanzee_Gene start (bp)	Chimpanzee_Gene end (bp)	Chimpanzee_Strand	Chimpanzee_Gene description	Chimpanzee_Gene name	Chimpanzee_Gene type	Chimpanzee_Gene stable ID.1	Chimpanzee_Chromosome/scaffold name.1	Chimpanzee_Gene start (bp).1	Chimpanzee_Gene end (bp).1	Chimpanzee_Strand.1	Chimpanzee_Gene description.1	Chimpanzee_Gene name.1	Chimpanzee_Gene type.1	Chimpanzee_distance	Vervet-Agm_BIP number	Vervet-Agm_Gene stable ID	Vervet-Agm_Chromosome/scaffold name	Vervet-Agm_Gene start (bp)	Vervet-Agm_Gene end (bp)	Vervet-Agm_Strand	Vervet-Agm_Gene description	Vervet-Agm_Gene name	Vervet-Agm_Gene type	Vervet-Agm_Gene stable ID.1	Vervet-Agm_Chromosome/scaffold name.1	Vervet-Agm_Gene start (bp).1	Vervet-Agm_Gene end (bp).1	Vervet-Agm_Strand.1	Vervet-Agm_Gene description.1	Vervet-Agm_Gene name.1	Vervet-Agm_Gene type.1	Vervet-Agm_distance	Olive_Baboon_BIP number	Olive_Baboon_Gene stable ID	Olive_Baboon_Chromosome/scaffold name	Olive_Baboon_Gene start (bp)	Olive_Baboon_Gene end (bp)	Olive_Baboon_Strand	Olive_Baboon_Gene description	Olive_Baboon_Gene name	Olive_Baboon_Gene type	Olive_Baboon_Gene stable ID.1	Olive_Baboon_Chromosome/scaffold name.1	Olive_Baboon_Gene start (bp).1	Olive_Baboon_Gene end (bp).1	Olive_Baboon_Strand.1	Olive_Baboon_Gene description.1	Olive_Baboon_Gene name.1	Olive_Baboon_Gene type.1	Olive_Baboon_distance	Sumatran_Orangutan_BIP number	Sumatran_Orangutan_Gene stable ID	Sumatran_Orangutan_Chromosome/scaffold name	Sumatran_Orangutan_Gene start (bp)	Sumatran_Orangutan_Gene end (bp)	Sumatran_Orangutan_Strand	Sumatran_Orangutan_Gene description	Sumatran_Orangutan_Gene name	Sumatran_Orangutan_Gene type	Sumatran_Orangutan_Gene stable ID.1	Sumatran_Orangutan_Chromosome/scaffold name.1	Sumatran_Orangutan_Gene start (bp).1	Sumatran_Orangutan_Gene end (bp).1	Sumatran_Orangutan_Strand.1	Sumatran_Orangutan_Gene description.1	Sumatran_Orangutan_Gene name.1	Sumatran_Orangutan_Gene type.1	Sumatran_Orangutan_distance	Gibbon_BIP number	Gibbon_Gene stable ID	Gibbon_Chromosome/scaffold name	Gibbon_Gene start (bp)	Gibbon_Gene end (bp)	Gibbon_Strand	Gibbon_Gene description	Gibbon_Gene name	Gibbon_Gene type	Gibbon_Gene stable ID.1	Gibbon_Chromosome/scaffold name.1	Gibbon_Gene start (bp).1	Gibbon_Gene end (bp).1	Gibbon_Strand.1	Gibbon_Gene description.1	Gibbon_Gene name.1	Gibbon_Gene type.1	Gibbon_distance
1879	ENSG00000267855	19	8308768	8321375	-1	NADH:ubiquinone oxidoreductase subunit A7 [Source:HGNC Symbol;Acc:HGNC:7691]	NDUFA7	protein_coding	ENSG00000233927	19	8321158	8323340	1	ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:10418]	RPS28	protein_coding	217																																					734	ENSPPAG00000043893	19	8448211	8458270	-1	NADH:ubiquinone oxidoreductase subunit A7 [Source:HGNC Symbol;Acc:HGNC:7691]	NDUFA7	protein_coding	ENSPPAG00000028825	19	8458321	8459250	1	ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:10418]	RPS28	protein_coding	51	682	ENSGGOG00000000924	19	8138622	8149104	-1	NADH:ubiquinone oxidoreductase subunit A7 [Source:HGNC Symbol;Acc:HGNC:7691]	NDUFA7	protein_coding	ENSGGOG00000024725	19	8148714	8149695	1	ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:10418]	RPS28	protein_coding	390	828	ENSPTRG00000010418	19	8695633	8705503	-1	NADH:ubiquinone oxidoreductase subunit A7 [Source:VGNC Symbol;Acc:VGNC:110025]	NDUFA7	protein_coding	ENSPTRG00000040141	19	8705602	8706531	1	ribosomal protein S28 [Source:VGNC Symbol;Acc:VGNC:12082]	RPS28	protein_coding	99																																																																								
2108	ENSG00000105619	19	54107020	54115657	-1	TCF3 fusion partner [Source:HGNC Symbol;Acc:HGNC:13630]	TFPT	protein_coding	ENSG00000105618	19	54115410	54131719	1	pre-mRNA processing factor 31 [Source:HGNC Symbol;Acc:HGNC:15446]	PRPF31	protein_coding	247																																					824	ENSPPAG00000041968	19	59879141	59891335	-1	TCF3 fusion partner [Source:HGNC Symbol;Acc:HGNC:13630]	TFPT	protein_coding	ENSPPAG00000032209	19	59891070	59907159	1	pre-mRNA processing factor 31 [Source:HGNC Symbol;Acc:HGNC:15446]	PRPF31	protein_coding	265	776	ENSGGOG00000016508	19	53437516	53446581	-1	TCF3 fusion partner [Source:HGNC Symbol;Acc:HGNC:13630]	TFPT	protein_coding	ENSGGOG00000016516	19	53446316	53462491	1	pre-mRNA processing factor 31 [Source:HGNC Symbol;Acc:HGNC:15446]	PRPF31	protein_coding	265																																					697	ENSPANG00000012505	20	8886597	8895075	-1	TCF3 fusion partner [Source:NCBI gene (formerly Entrezgene);Acc:100137335]	TFPT	protein_coding	ENSPANG00000025402	20	8895180	8914277	1	pre-mRNA processing factor 31 [Source:NCBI gene (formerly Entrezgene);Acc:100137336]	PRPF31	protein_coding	105	846	ENSPPYG00000010370	19	52626859	52635706	-1	TCF3 fusion partner [Source:HGNC Symbol;Acc:HGNC:13630]	TFPT	protein_coding	ENSPPYG00000010371	19	52635799	52651311	1	pre-mRNA processing factor 31 [Source:HGNC Symbol;Acc:HGNC:15446]	PRPF31	protein_coding	93																		
2634	ENSG00000154767	3	14145147	14178621	-1	XPC complex subunit, DNA damage recognition and repair factor [Source:HGNC Symbol;Acc:HGNC:12816]	XPC	protein_coding	ENSG00000170860	3	14178817	14201122	1	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17874]	LSM3	protein_coding	196																																					912	ENSPPAG00000043453	3	14403958	14437377	-1	XPC complex subunit, DNA damage recognition and repair factor [Source:HGNC Symbol;Acc:HGNC:12816]	XPC	protein_coding	ENSPPAG00000034074	3	14437497	14456726	1	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17874]	LSM3	protein_coding	120	876	ENSGGOG00000009997	3	14376570	14414667	-1	XPC complex subunit, DNA damage recognition and repair factor [Source:HGNC Symbol;Acc:HGNC:12816]	XPC	protein_coding	ENSGGOG00000010006	3	14414723	14434864	1	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17874]	LSM3	protein_coding	56	1053	ENSPTRG00000014649	3	14480026	14513414	-1	XPC complex subunit, DNA damage recognition and repair factor [Source:VGNC Symbol;Acc:VGNC:10474]	XPC	protein_coding	ENSPTRG00000014650	3	14513548	14532852	1	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:VGNC Symbol;Acc:VGNC:7982]	LSM3	protein_coding	134																																					947	ENSPPYG00000013401	3	6794416	6827795	-1	XPC complex subunit, DNA damage recognition and repair factor [Source:HGNC Symbol;Acc:HGNC:12816]	XPC	protein_coding	ENSPPYG00000013402	3	6827945	6847154	1	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17874]	LSM3	protein_coding	150																		
2778	ENSG00000136522	3	179588285	179604649	-1	mitochondrial ribosomal protein L47 [Source:HGNC Symbol;Acc:HGNC:16652]	MRPL47	protein_coding	ENSG00000136521	3	179604690	179627647	1	NADH:ubiquinone oxidoreductase subunit B5 [Source:HGNC Symbol;Acc:HGNC:7700]	NDUFB5	protein_coding	41																																					974	ENSPPAG00000028033	3	184791041	184807194	-1	mitochondrial ribosomal protein L47 [Source:HGNC Symbol;Acc:HGNC:16652]	MRPL47	protein_coding	ENSPPAG00000032519	3	184807246	184827011	1	NADH:ubiquinone oxidoreductase subunit B5 [Source:HGNC Symbol;Acc:HGNC:7700]	NDUFB5	protein_coding	52																			1121	ENSPTRG00000015648	3	183502930	183519134	-1	mitochondrial ribosomal protein L47 [Source:VGNC Symbol;Acc:VGNC:2428]	MRPL47	protein_coding	ENSPTRG00000015649	3	183519158	183538934	1	NADH:ubiquinone oxidoreductase subunit B5 [Source:VGNC Symbol;Acc:VGNC:7989]	NDUFB5	protein_coding	24																																					1003	ENSPPYG00000014321	3	177255330	177272486	-1	mitochondrial ribosomal protein L47 [Source:HGNC Symbol;Acc:HGNC:16652]	MRPL47	protein_coding	ENSPPYG00000037815	3	177272639	177292407	1	NADH:ubiquinone oxidoreductase subunit B5 [Source:HGNC Symbol;Acc:HGNC:7700]	NDUFB5	protein_coding	153	119	ENSNLEG00000005831	11	104323491	104339826	-1	mitochondrial ribosomal protein L47 [Source:HGNC Symbol;Acc:HGNC:16652]	MRPL47	protein_coding	ENSNLEG00000034646	11	104339900	104360183	1	NADH:ubiquinone oxidoreductase subunit B5 [Source:HGNC Symbol;Acc:HGNC:7700]	NDUFB5	protein_coding	74
3132	ENSG00000111802	6	24649979	24666930	-1	tyrosyl-DNA phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:17768]	TDP2	protein_coding	ENSG00000112304	6	24667035	24705065	1	acyl-CoA thioesterase 13 [Source:HGNC Symbol;Acc:HGNC:20999]	ACOT13	protein_coding	105																																					1080	ENSPPAG00000029023	6	24819494	24837189	-1	tyrosyl-DNA phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:17768]	TDP2	protein_coding	ENSPPAG00000028457	6	24837145	24873037	1	acyl-CoA thioesterase 13 [Source:HGNC Symbol;Acc:HGNC:20999]	ACOT13	protein_coding	44	1110	ENSGGOG00000014237	6	25289827	25306929	-1	tyrosyl-DNA phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:17768]	TDP2	protein_coding	ENSGGOG00000014244	6	25306885	25342247	1	acyl-CoA thioesterase 13 [Source:HGNC Symbol;Acc:HGNC:20999]	ACOT13	protein_coding	44	1237	ENSPTRG00000017778	6	24996261	25013801	-1	tyrosyl-DNA phosphodiesterase 2 [Source:VGNC Symbol;Acc:VGNC:7933]	TDP2	protein_coding	ENSPTRG00000044962	6	25013639	25048446	1	acyl-CoA thioesterase 13 [Source:VGNC Symbol;Acc:VGNC:11029]	ACOT13	protein_coding	162																																					1107	ENSPPYG00000016282	6	24703490	24720599	-1	tyrosyl-DNA phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:17768]	TDP2	protein_coding	ENSPPYG00000016283	6	24720667	24755397	1	acyl-CoA thioesterase 13 [Source:NCBI gene (formerly Entrezgene);Acc:100173179]	ACOT13	protein_coding	68	873	ENSNLEG00000002447	8	75640386	75658269	-1	tyrosyl-DNA phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:17768]	TDP2	protein_coding	ENSNLEG00000002546	8	75658132	75693075	1	acyl-CoA thioesterase 13 [Source:HGNC Symbol;Acc:HGNC:20999]	ACOT13	protein_coding	137
3480	ENSG00000106244	7	99392048	99408597	-1	PDGFA associated protein 1 [Source:HGNC Symbol;Acc:HGNC:14634]	PDAP1	protein_coding	ENSG00000106245	7	99408641	99419616	1	BUD31 homolog [Source:HGNC Symbol;Acc:HGNC:29629]	BUD31	protein_coding	44																																					1180	ENSPPAG00000031378	7	104871576	104884276	-1	PDGFA associated protein 1 [Source:HGNC Symbol;Acc:HGNC:14634]	PDAP1	protein_coding	ENSPPAG00000040700	7	104884088	104894865	1	BUD31 homolog [Source:HGNC Symbol;Acc:HGNC:29629]	BUD31	protein_coding	188																			1339	ENSPTRG00000041711	7	102325388	102338248	-1	PDGFA associated protein 1 [Source:VGNC Symbol;Acc:VGNC:4460]	PDAP1	protein_coding	ENSPTRG00000019451	7	102338089	102360775	1	BUD31 homolog [Source:VGNC Symbol;Acc:VGNC:4280]	BUD31	protein_coding	159																																					1185	ENSPPYG00000017375	7	2749829	2763298	-1			protein_coding	ENSPPYG00000017376	7	2762806	2773530	1	BUD31 homolog [Source:HGNC Symbol;Acc:HGNC:29629]	BUD31	protein_coding	492																		
3797	ENSG00000136925	9	97600080	97633368	-1	thiosulfate sulfurtransferase like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30087]	TSTD2	protein_coding	ENSG00000136937	9	97633668	97673748	1	nuclear cap binding protein subunit 1 [Source:HGNC Symbol;Acc:HGNC:7658]	NCBP1	protein_coding	300																																					1263	ENSPPAG00000028289	9	96812273	96845682	-1	thiosulfate sulfurtransferase like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30087]	TSTD2	protein_coding	ENSPPAG00000026462	9	96845422	96885624	1	nuclear cap binding protein subunit 1 [Source:HGNC Symbol;Acc:HGNC:7658]	NCBP1	protein_coding	260	1293	ENSGGOG00000001374	9	79686441	79720820	-1	thiosulfate sulfurtransferase like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30087]	TSTD2	protein_coding	ENSGGOG00000001376	9	79720563	79760893	1	nuclear cap binding protein subunit 1 [Source:HGNC Symbol;Acc:HGNC:7658]	NCBP1	protein_coding	257	1432	ENSPTRG00000021166	9	75321538	75355148	-1	thiosulfate sulfurtransferase like domain containing 2 [Source:VGNC Symbol;Acc:VGNC:10121]	TSTD2	protein_coding	ENSPTRG00000021167	9	75354894	75395099	1	nuclear cap binding protein subunit 1 [Source:VGNC Symbol;Acc:VGNC:4797]	NCBP1	protein_coding	254																																					1293	ENSPPYG00000019425	9	71259029	71292112	-1	thiosulfate sulfurtransferase like domain containing 2 [Source:NCBI gene (formerly Entrezgene);Acc:100172136]	TSTD2	protein_coding	ENSPPYG00000019426	9	71291490	71330410	1	nuclear cap binding protein subunit 1 [Source:HGNC Symbol;Acc:HGNC:7658]	NCBP1	protein_coding	622																		
3807	ENSG00000070061	9	108866898	108934328	-1	elongator acetyltransferase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:5959]	ELP1	protein_coding	ENSG00000119328	9	108934400	108950744	1	actin binding transcription modulator [Source:HGNC Symbol;Acc:HGNC:1364]	ABITRAM	protein_coding	72																																					1266	ENSPPAG00000027510	9	108194011	108258500	-1	elongator acetyltransferase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:5959]	ELP1	protein_coding	ENSPPAG00000028675	9	108258285	108274538	1	actin binding transcription modulator [Source:HGNC Symbol;Acc:HGNC:1364]	ABITRAM	protein_coding	215																			1436	ENSPTRG00000021233	9	86736056	86802151	-1	elongator acetyltransferase complex subunit 1 [Source:VGNC Symbol;Acc:VGNC:48979]	ELP1	protein_coding	ENSPTRG00000021234	9	86801922	86818075	1	actin binding transcription modulator [Source:VGNC Symbol;Acc:VGNC:4691]	ABITRAM	protein_coding	229																																					1298	ENSPPYG00000019482	9	82620512	82685191	-1	elongator acetyltransferase complex subunit 1 [Source:NCBI gene (formerly Entrezgene);Acc:100171912]	ELP1	protein_coding	ENSPPYG00000019483	9	82685478	82701643	1	actin binding transcription modulator [Source:NCBI gene (formerly Entrezgene);Acc:100174191]	ABITRAM	protein_coding	287																		
3813	ENSG00000148229	9	113407235	113410675	-1	DNA polymerase epsilon 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:13546]	POLE3	protein_coding	ENSG00000157653	9	113410054	113429690	1	chromosome 9 open reading frame 43 [Source:HGNC Symbol;Acc:HGNC:23570]	C9orf43	protein_coding	621																																					1268	ENSPPAG00000042623	9	112879047	112882951	-1	DNA polymerase epsilon 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:13546]	POLE3	protein_coding	ENSPPAG00000040590	9	112882776	112901711	1	chromosome 9 open reading frame 43 [Source:HGNC Symbol;Acc:HGNC:23570]	C9orf43	protein_coding	175																			1439	ENSPTRG00000021280	9	91367939	91371121	-1	DNA polymerase epsilon 3, accessory subunit [Source:VGNC Symbol;Acc:VGNC:13945]	POLE3	protein_coding	ENSPTRG00000021281	9	91371479	91390763	1	chromosome 9 C9orf43 homolog [Source:VGNC Symbol;Acc:VGNC:4636]	C9H9orf43	protein_coding	358																																																							890	ENSNLEG00000016710	8	92301543	92303944	-1	DNA polymerase epsilon 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:13546]	POLE3	protein_coding	ENSNLEG00000016713	8	92303503	92326130	1	chromosome 9 open reading frame 43 [Source:HGNC Symbol;Acc:HGNC:23570]	C9orf43	protein_coding	441
3818	ENSG00000119421	9	122144058	122159779	-1	NADH:ubiquinone oxidoreductase subunit A8 [Source:HGNC Symbol;Acc:HGNC:7692]	NDUFA8	protein_coding	ENSG00000185681	9	122159908	122200088	1	MORN repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:17841]	MORN5	protein_coding	129																																					1270	ENSPPAG00000029306	9	121610091	121625688	-1	NADH:ubiquinone oxidoreductase subunit A8 [Source:HGNC Symbol;Acc:HGNC:7692]	NDUFA8	protein_coding	ENSPPAG00000040462	9	121625783	121665725	1	MORN repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:17841]	MORN5	protein_coding	95																			1440	ENSPTRG00000021319	9	100198841	100214276	-1	NADH:ubiquinone oxidoreductase subunit A8 [Source:VGNC Symbol;Acc:VGNC:4799]	NDUFA8	protein_coding	ENSPTRG00000021321	9	100214460	100254999	1	MORN repeat containing 5 [Source:VGNC Symbol;Acc:VGNC:4787]	MORN5	protein_coding	184																			291	ENSPANG00000042514	13	91828927	91844775	-1	NADH:ubiquinone oxidoreductase subunit A8 [Source:HGNC Symbol;Acc:HGNC:7692]	NDUFA8	protein_coding	ENSPANG00000034028	13	91844970	91885697	1	MORN repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:17841]	MORN5	protein_coding	195																			893	ENSNLEG00000028087	8	101284892	101300746	-1	NADH:ubiquinone oxidoreductase subunit A8 [Source:HGNC Symbol;Acc:HGNC:7692]	NDUFA8	protein_coding	ENSNLEG00000017165	8	101300841	101340661	1	MORN repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:17841]	MORN5	protein_coding	95
3886	ENSG00000210194	MT	14674	14742	-1	mitochondrially encoded tRNA-Glu (GAA/G) [Source:HGNC Symbol;Acc:HGNC:7479]	MT-TE	Mt_tRNA	ENSG00000198727	MT	14747	15887	1	mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427]	MT-CYB	protein_coding	5																																					1306	ENSPPAG00000000034	MT	14093	14161	-1	mitochondrially encoded tRNA-Glu (GAA/G) [Source:HGNC Symbol;Acc:HGNC:7479]	MT-TE	Mt_tRNA	ENSPPAG00000000035	MT	14166	15306	1	cytochrome b [Source:NCBI gene (formerly Entrezgene);Acc:807882]	CYTB	protein_coding	5																			1479	ENSPTRG00000042625	MT	14092	14160	-1	mitochondrially encoded tRNA-Glu (GAA/G) [Source:HGNC Symbol;Acc:HGNC:7479]	MT-TE	Mt_tRNA	ENSPTRG00000042637	MT	14165	15305	1	mitochondrially encoded cytochrome b [Source:VGNC Symbol;Acc:VGNC:11718]	MT-CYB	protein_coding	5																																																																								
74	ENSG00000126106	1	44635238	44674481	-1	transmembrane protein 53 [Source:HGNC Symbol;Acc:HGNC:26186]	TMEM53	protein_coding	ENSG00000198520	1	44674692	44725591	1	armadillo like helical domain containing 1 [Source:HGNC Symbol;Acc:HGNC:34345]	ARMH1	protein_coding	211																																																							46	ENSGGOG00000000540	1	45173421	45214080	-1	transmembrane protein 53 [Source:HGNC Symbol;Acc:HGNC:26186]	TMEM53	protein_coding	ENSGGOG00000001077	1	45213926	45268830	1	armadillo like helical domain containing 1 [Source:HGNC Symbol;Acc:HGNC:34345]	ARMH1	protein_coding	154	56	ENSPTRG00000000657	1	44154916	44193150	-1	transmembrane protein 53 [Source:VGNC Symbol;Acc:VGNC:1686]	TMEM53	protein_coding	ENSPTRG00000022898	1	44193228	44252012	1	armadillo like helical domain containing 1 [Source:VGNC Symbol;Acc:VGNC:9931]	ARMH1	protein_coding	78																																																																								
486	ENSG00000149743	11	64223799	64226254	-1	tRNA phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:20316]	TRPT1	protein_coding	ENSG00000149761	11	64225941	64230686	1	nudix hydrolase 22 [Source:HGNC Symbol;Acc:HGNC:28189]	NUDT22	protein_coding	313																																																							238	ENSGGOG00000012163	11	63393432	63395903	-1	tRNA phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:20316]	TRPT1	protein_coding	ENSGGOG00000012174	11	63395923	63403424	1	nudix hydrolase 22 [Source:HGNC Symbol;Acc:HGNC:28189]	NUDT22	protein_coding	20	279	ENSPTRG00000003822	11	64252373	64254839	-1	tRNA phosphotransferase 1 [Source:VGNC Symbol;Acc:VGNC:948]	TRPT1	protein_coding	ENSPTRG00000003823	11	64254869	64258600	1	nudix hydrolase 22 [Source:VGNC Symbol;Acc:VGNC:3084]	NUDT22	protein_coding	30																			236	ENSPANG00000011001	12	113653575	113655552	-1	tRNA phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:20316]	TRPT1	protein_coding	ENSPANG00000015654	12	113656356	113659389	1	nudix hydrolase 22 [Source:HGNC Symbol;Acc:HGNC:28189]	NUDT22	protein_coding	804																			739	ENSNLEG00000033525	4	84649513	84651489	-1	tRNA phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:20316]	TRPT1	protein_coding	ENSNLEG00000004838	4	84651570	84655673	1	nudix hydrolase 22 [Source:HGNC Symbol;Acc:HGNC:28189]	NUDT22	protein_coding	81
977	ENSG00000050130	14	59484443	59505410	1	JNK1/MAPK8 associated membrane protein [Source:HGNC Symbol;Acc:HGNC:20184]	JKAMP	protein_coding	ENSG00000151838	14	59504539	59576812	-1	coiled-coil domain containing 175 [Source:HGNC Symbol;Acc:HGNC:19847]	CCDC175	protein_coding	871																																																							416	ENSGGOG00000002463	14	42757122	42778121	1	JNK1/MAPK8 associated membrane protein [Source:HGNC Symbol;Acc:HGNC:20184]	JKAMP	protein_coding	ENSGGOG00000002465	14	42777806	42850489	-1	coiled-coil domain containing 175 [Source:HGNC Symbol;Acc:HGNC:19847]	CCDC175	protein_coding	315																																																							427	ENSPPYG00000005865	14	40841925	40862853	1	JNK1/MAPK8 associated membrane protein [Source:NCBI gene (formerly Entrezgene);Acc:100173922]	JKAMP	protein_coding	ENSPPYG00000005866	14	40862688	40934025	-1	coiled-coil domain containing 175 [Source:HGNC Symbol;Acc:HGNC:19847]	CCDC175	protein_coding	165																		
991	ENSG00000100632	14	69380128	69398299	-1	ERH mRNA splicing and mitosis factor [Source:HGNC Symbol;Acc:HGNC:3447]	ERH	protein_coding	ENSG00000029364	14	69398015	69462390	1	solute carrier family 39 member 9 [Source:HGNC Symbol;Acc:HGNC:20182]	SLC39A9	protein_coding	284																																																							421	ENSGGOG00000004751	14	52910698	52929202	-1	ERH mRNA splicing and mitosis factor [Source:HGNC Symbol;Acc:HGNC:3447]	ERH	protein_coding	ENSGGOG00000004753	14	52929243	52998197	1	solute carrier family 39 member 9 [Source:HGNC Symbol;Acc:HGNC:20182]	SLC39A9	protein_coding	41	480	ENSPTRG00000006482	14	53807738	53826256	-1	ERH mRNA splicing and mitosis factor [Source:VGNC Symbol;Acc:VGNC:8199]	ERH	protein_coding	ENSPTRG00000006483	14	53826307	53921238	1	solute carrier family 39 member 9 [Source:VGNC Symbol;Acc:VGNC:8212]	SLC39A9	protein_coding	51																																					435	ENSPPYG00000005939	14	50903314	50921275	-1	ERH mRNA splicing and mitosis factor [Source:HGNC Symbol;Acc:HGNC:3447]	ERH	protein_coding	ENSPPYG00000005940	14	50921614	50984336	1	solute carrier family 39 member 9 [Source:NCBI gene (formerly Entrezgene);Acc:100171785]	SLC39A9	protein_coding	339																		
1110	ENSG00000242028	15	43796142	43804427	1	huntingtin interacting protein K [Source:HGNC Symbol;Acc:HGNC:18418]	HYPK	protein_coding	ENSG00000140259	15	43804492	43824690	-1	microfibril associated protein 1 [Source:HGNC Symbol;Acc:HGNC:7032]	MFAP1	protein_coding	65																																																							461	ENSGGOG00000014809	15	21966036	21969050	1	huntingtin interacting protein K [Source:HGNC Symbol;Acc:HGNC:18418]	HYPK	protein_coding	ENSGGOG00000006244	15	21969740	21991637	-1	microfibril associated protein 1 [Source:HGNC Symbol;Acc:HGNC:7032]	MFAP1	protein_coding	690																																																							469	ENSPPYG00000006424	15	23722963	23724235	1	huntingtin interacting protein K [Source:HGNC Symbol;Acc:HGNC:18418]	HYPK	protein_coding	ENSPPYG00000006426	15	23724871	23747029	-1	microfibril associated protein 1 [Source:HGNC Symbol;Acc:HGNC:7032]	MFAP1	protein_coding	636																		
