Chicken_BIP number,Chicken_Gene stable ID,Chicken_Chromosome/scaffold name,Chicken_Gene start (bp),Chicken_Gene end (bp),Chicken_Strand,Chicken_Gene description,Chicken_Gene name,Chicken_Gene type,Chicken_Gene stable ID.1,Chicken_Chromosome/scaffold name.1,Chicken_Gene start (bp).1,Chicken_Gene end (bp).1,Chicken_Strand.1,Chicken_Gene description.1,Chicken_Gene name.1,Chicken_Gene type.1,Chicken_distance,Great_Tit_BIP number,Great_Tit_Gene stable ID,Great_Tit_Chromosome/scaffold name,Great_Tit_Gene start (bp),Great_Tit_Gene end (bp),Great_Tit_Strand,Great_Tit_Gene description,Great_Tit_Gene name,Great_Tit_Gene type,Great_Tit_Gene stable ID.1,Great_Tit_Chromosome/scaffold name.1,Great_Tit_Gene start (bp).1,Great_Tit_Gene end (bp).1,Great_Tit_Strand.1,Great_Tit_Gene description.1,Great_Tit_Gene name.1,Great_Tit_Gene type.1,Great_Tit_distance,Zebra_Finch_BIP number,Zebra_Finch_Gene stable ID,Zebra_Finch_Chromosome/scaffold name,Zebra_Finch_Gene start (bp),Zebra_Finch_Gene end (bp),Zebra_Finch_Strand,Zebra_Finch_Gene description,Zebra_Finch_Gene name,Zebra_Finch_Gene type,Zebra_Finch_Gene stable ID.1,Zebra_Finch_Chromosome/scaffold name.1,Zebra_Finch_Gene start (bp).1,Zebra_Finch_Gene end (bp).1,Zebra_Finch_Strand.1,Zebra_Finch_Gene description.1,Zebra_Finch_Gene name.1,Zebra_Finch_Gene type.1,Zebra_Finch_distance,Duck_BIP number,Duck_Gene stable ID,Duck_Chromosome/scaffold name,Duck_Gene start (bp),Duck_Gene end (bp),Duck_Strand,Duck_Gene description,Duck_Gene name,Duck_Gene type,Duck_Gene stable ID.1,Duck_Chromosome/scaffold name.1,Duck_Gene start (bp).1,Duck_Gene end (bp).1,Duck_Strand.1,Duck_Gene description.1,Duck_Gene name.1,Duck_Gene type.1,Duck_distance,Turkey_BIP number,Turkey_Gene stable ID,Turkey_Chromosome/scaffold name,Turkey_Gene start (bp),Turkey_Gene end (bp),Turkey_Strand,Turkey_Gene description,Turkey_Gene name,Turkey_Gene type,Turkey_Gene stable ID.1,Turkey_Chromosome/scaffold name.1,Turkey_Gene start (bp).1,Turkey_Gene end (bp).1,Turkey_Strand.1,Turkey_Gene description.1,Turkey_Gene name.1,Turkey_Gene type.1,Turkey_distance,Kakapo_BIP number,Kakapo_Gene stable ID,Kakapo_Chromosome/scaffold name,Kakapo_Gene start (bp),Kakapo_Gene end (bp),Kakapo_Strand,Kakapo_Gene description,Kakapo_Gene name,Kakapo_Gene type,Kakapo_Gene stable ID.1,Kakapo_Chromosome/scaffold name.1,Kakapo_Gene start (bp).1,Kakapo_Gene end (bp).1,Kakapo_Strand.1,Kakapo_Gene description.1,Kakapo_Gene name.1,Kakapo_Gene type.1,Kakapo_distance,Golden_Eagle_BIP number,Golden_Eagle_Gene stable ID,Golden_Eagle_Chromosome/scaffold name,Golden_Eagle_Gene start (bp),Golden_Eagle_Gene end (bp),Golden_Eagle_Strand,Golden_Eagle_Gene description,Golden_Eagle_Gene name,Golden_Eagle_Gene type,Golden_Eagle_Gene stable ID.1,Golden_Eagle_Chromosome/scaffold name.1,Golden_Eagle_Gene start (bp).1,Golden_Eagle_Gene end (bp).1,Golden_Eagle_Strand.1,Golden_Eagle_Gene description.1,Golden_Eagle_Gene name.1,Golden_Eagle_Gene type.1,Golden_Eagle_distance,Japanese_Quail_BIP number,Japanese_Quail_Gene stable ID,Japanese_Quail_Chromosome/scaffold name,Japanese_Quail_Gene start (bp),Japanese_Quail_Gene end (bp),Japanese_Quail_Strand,Japanese_Quail_Gene description,Japanese_Quail_Gene name,Japanese_Quail_Gene type,Japanese_Quail_Gene stable ID.1,Japanese_Quail_Chromosome/scaffold name.1,Japanese_Quail_Gene start (bp).1,Japanese_Quail_Gene end (bp).1,Japanese_Quail_Strand.1,Japanese_Quail_Gene description.1,Japanese_Quail_Gene name.1,Japanese_Quail_Gene type.1,Japanese_Quail_distance,Collared_Flycatcher_BIP number,Collared_Flycatcher_Gene stable ID,Collared_Flycatcher_Chromosome/scaffold name,Collared_Flycatcher_Gene start (bp),Collared_Flycatcher_Gene end (bp),Collared_Flycatcher_Strand,Collared_Flycatcher_Gene description,Collared_Flycatcher_Gene name,Collared_Flycatcher_Gene type,Collared_Flycatcher_Gene stable ID.1,Collared_Flycatcher_Chromosome/scaffold name.1,Collared_Flycatcher_Gene start (bp).1,Collared_Flycatcher_Gene end (bp).1,Collared_Flycatcher_Strand.1,Collared_Flycatcher_Gene description.1,Collared_Flycatcher_Gene name.1,Collared_Flycatcher_Gene type.1,Collared_Flycatcher_distance
2918,ENSGALG00010013238,Z,11104616,11119284,-1,RAD1 checkpoint DNA exonuclease [Source:HGNC Symbol;Acc:HGNC:9806],RAD1,protein_coding,ENSGALG00010013256,Z,11119287,11123680,1,"BRX1, biosis of ribosomes [Source:NCBI gene (formerly Entrezgene);Acc:427433]",BRIX1,protein_coding,3,1094,ENSPMJG00000015776,Z,10437005,10442659,-1,RAD1 checkpoint DNA exonuclease [Source:NCBI gene;Acc:107198323],RAD1,protein_coding,ENSPMJG00000015777,Z,10442354,10448623,1,biogenesis of ribosomes BRX1 [Source:NCBI gene;Acc:107198322],BRIX1,protein_coding,305,1907,ENSTGUG00000001960,Z,49390063,49395359,-1,RAD1 checkpoint DNA exonuclease [Source:NCBI gene;Acc:100221348],RAD1,protein_coding,ENSTGUG00000001961,Z,49395299,49400049,1,biogenesis of ribosomes BRX1 [Source:HGNC Symbol;Acc:HGNC:24170],BRIX1,protein_coding,60,,,,,,,,,,,,,,,,,,,789,ENSMGAG00000003190,Z,9370764,9376587,-1,RAD1 checkpoint DNA exonuclease [Source:HGNC Symbol;Acc:HGNC:9806],RAD1,protein_coding,ENSMGAG00000018680,Z,9376608,9383219,1,biogenesis of ribosomes BRX1 [Source:HGNC Symbol;Acc:HGNC:24170],BRIX1,protein_coding,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1165,ENSCJPG00005006596,Z,9683412,9687436,-1,RAD1 checkpoint DNA exonuclease [Source:NCBI gene;Acc:107305778],RAD1,protein_coding,ENSCJPG00005006597,Z,9687682,9691589,1,biogenesis of ribosomes BRX1 [Source:NCBI gene;Acc:107305777],BRIX1,protein_coding,246,824,ENSFALG00000002107,Z,11126206,11131383,-1,RAD1 checkpoint DNA exonuclease [Source:HGNC Symbol;Acc:HGNC:9806],RAD1,protein_coding,ENSFALG00000002106,Z,11131475,11137077,1,biogenesis of ribosomes BRX1 [Source:HGNC Symbol;Acc:HGNC:24170],BRIX1,protein_coding,92
3022,ENSGALG00010007322,Z,64883624,64887676,-1,adenylate kinase 6 [Source:NCBI gene (formerly Entrezgene);Acc:425215],AK6,protein_coding,ENSGALG00010007344,Z,64887627,64904147,1,RAD17 checkpoint clamp loader component [Source:NCBI gene (formerly Entrezgene);Acc:404778],RAD17,protein_coding,49,1135,ENSPMJG00000001441,Z,73998401,74001266,-1,adenylate kinase 6 [Source:NCBI gene;Acc:107215785],AK6,protein_coding,ENSPMJG00000001446,Z,74001287,74015336,1,RAD17 checkpoint clamp loader component [Source:NCBI gene;Acc:107198358],RAD17,protein_coding,21,1875,ENSTGUG00000028726,Z,22352992,22356973,-1,adenylate kinase 6 [Source:HGNC Symbol;Acc:HGNC:49151],AK6,protein_coding,ENSTGUG00000017526,Z,22356841,22372597,1,RAD17 checkpoint clamp loader component [Source:HGNC Symbol;Acc:HGNC:9807],RAD17,protein_coding,132,,,,,,,,,,,,,,,,,,,802,ENSMGAG00000001810,Z,57433936,57435751,-1,,,protein_coding,ENSMGAG00000002053,Z,57435937,57449416,1,RAD17 checkpoint clamp loader component [Source:HGNC Symbol;Acc:HGNC:9807],RAD17,protein_coding,186,383,ENSSHBG00005002469,3,30650375,30653130,-1,adenylate kinase 6 [Source:NCBI gene;Acc:115619384],AK6,protein_coding,ENSSHBG00005002493,3,30653218,30670136,1,RAD17 checkpoint clamp loader component [Source:NCBI gene;Acc:115619381],RAD17,protein_coding,88,1168,ENSACCG00020014804,Z,8159055,8160814,-1,adenylate kinase 6 [Source:NCBI gene;Acc:115336720],AK6,protein_coding,ENSACCG00020014827,Z,8160872,8178311,1,RAD17 checkpoint clamp loader component [Source:NCBI gene;Acc:115336715],RAD17,protein_coding,58,1189,ENSCJPG00005001190,Z,57163517,57168771,-1,adenylate kinase 6 [Source:NCBI gene;Acc:107306537],AK6,protein_coding,ENSCJPG00005001194,Z,57168210,57180250,1,RAD17 checkpoint clamp loader component [Source:NCBI gene;Acc:107306535],RAD17,protein_coding,561,848,ENSFALG00000012854,Z,59307582,59310348,-1,,,protein_coding,ENSFALG00000012863,Z,59310023,59324278,1,RAD17 checkpoint clamp loader component [Source:HGNC Symbol;Acc:HGNC:9807],RAD17,protein_coding,325
348,ENSGALG00010003861,1,168556102,168559060,1,nudix hydrolase 15 [Source:HGNC Symbol;Acc:HGNC:23063],NUDT15,protein_coding,ENSGALG00010003870,1,168559270,168569786,-1,mediator complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:17903],MED4,protein_coding,210,,,,,,,,,,,,,,,,,,,77,ENSTGUG00000012236,1,58799718,58801460,1,nudix hydrolase 15 [Source:NCBI gene;Acc:100230143],NUDT15,protein_coding,ENSTGUG00000022889,1,58800881,58812851,-1,mediator complex subunit 4 [Source:NCBI gene;Acc:100218591],MED4,protein_coding,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,ENSGALG00010002478,1,194753920,194784005,-1,protein phosphatase methylesterase 1 [Source:NCBI gene (formerly Entrezgene);Acc:419058],PPME1,protein_coding,ENSGALG00010002507,1,194784150,194842921,1,C2 domain containing 3 centriole elongation regulator [Source:HGNC Symbol;Acc:HGNC:24564],C2CD3,protein_coding,145,,,,,,,,,,,,,,,,,,,22,ENSTGUG00000013448,1,19162055,19181344,-1,protein phosphatase methylesterase 1 [Source:HGNC Symbol;Acc:HGNC:30178],PPME1,protein_coding,ENSTGUG00000019971,1,19181675,19220708,1,C2 domain containing 3 centriole elongation regulator [Source:NCBI gene;Acc:100226236],C2CD3,protein_coding,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,ENSGALG00010018150,10,18880261,18898747,-1,alpha- and gamma-adaptin binding protein [Source:NCBI gene (formerly Entrezgene);Acc:415553],AAGAB,protein_coding,ENSGALG00010018192,10,18898971,18958619,1,IQ motif containing H [Source:HGNC Symbol;Acc:HGNC:25721],IQCH,protein_coding,224,,,,,,,,,,,,,,,,,,,205,ENSTGUG00000009497,10,19858885,19884785,-1,alpha and gamma adaptin binding protein [Source:NCBI gene;Acc:100225488],AAGAB,protein_coding,ENSTGUG00000009504,10,19884929,19937692,1,IQ motif containing H [Source:NCBI gene;Acc:100222598],IQCH,protein_coding,144,,,,,,,,,,,,,,,,,,,187,ENSMGAG00000009906,12,18115219,18131669,-1,alpha and gamma adaptin binding protein [Source:HGNC Symbol;Acc:HGNC:25662],AAGAB,protein_coding,ENSMGAG00000009928,12,18131417,18189672,1,IQ motif containing H [Source:HGNC Symbol;Acc:HGNC:25721],IQCH,protein_coding,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,ENSFALG00000028875,10,19576366,19593127,-1,alpha and gamma adaptin binding protein [Source:HGNC Symbol;Acc:HGNC:25662],AAGAB,protein_coding,ENSFALG00000012896,10,19593747,19645116,1,IQ motif containing H [Source:HGNC Symbol;Acc:HGNC:25721],IQCH,protein_coding,620
539,ENSGALG00010021841,11,893647,910199,-1,centromere protein T [Source:NCBI gene (formerly Entrezgene);Acc:415654],CENPT,protein_coding,ENSGALG00010021853,11,910463,911918,1,,,protein_coding,264,,,,,,,,,,,,,,,,,,,239,ENSTGUG00000026335,11,5389698,5403126,-1,,,protein_coding,ENSTGUG00000023133,11,5402821,5404311,1,,,protein_coding,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,ENSGALG00010007847,11,15004032,15015136,-1,C-x(9)-C motif containing 2 [Source:NCBI gene (formerly Entrezgene);Acc:770023],CMC2,protein_coding,ENSGALG00010007859,11,15014558,15022181,1,centromere protein N [Source:NCBI gene (formerly Entrezgene);Acc:693246],CENPN,protein_coding,578,,,,,,,,,,,,,,,,,,,246,ENSTGUG00000022858,11,7293041,7307333,-1,C-X9-C motif containing 2 [Source:NCBI gene;Acc:100190040],CMC2,protein_coding,ENSTGUG00000004579,11,7307491,7316182,1,centromere protein N [Source:NCBI gene;Acc:100223191],CENPN,protein_coding,158,,,,,,,,,,,,,,,,,,,214,ENSMGAG00000006719,13,12547100,12556407,-1,,,protein_coding,ENSMGAG00000006725,13,12556329,12563775,1,,,protein_coding,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,ENSCJPG00005014693,11,13603009,13609307,-1,C-X9-C motif containing 2 [Source:NCBI gene;Acc:107319385],,protein_coding,ENSCJPG00005014694,11,13609063,13615740,1,centromere protein N [Source:NCBI gene;Acc:107319381],CENPN,protein_coding,244,,,,,,,,,,,,,,,,,,
792,ENSGALG00010021401,14,4379443,4388834,-1,PDGFA associated protein 1 [Source:HGNC Symbol;Acc:HGNC:14634],PDAP1,protein_coding,ENSGALG00010021414,14,4388804,4391734,1,BUD31 homolog [Source:HGNC Symbol;Acc:HGNC:29629],BUD31,protein_coding,30,,,,,,,,,,,,,,,,,,,397,ENSTGUG00000007588,14,5198808,5206819,-1,"Taeniopygia guttata PDGFA associated protein 1 (PDAP1), mRNA. [Source:RefSeq mRNA;Acc:NM_001245370]",PDAP1,protein_coding,ENSTGUG00000007584,14,5207038,5209375,1,"Taeniopygia guttata maternal G10-like (LOC100190121), mRNA. [Source:RefSeq mRNA;Acc:NM_001245598]",BUD31,protein_coding,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,ENSSHBG00005009661,5,82811458,82819499,-1,PDGFA associated protein 1 [Source:NCBI gene;Acc:115606811],PDAP1,protein_coding,ENSSHBG00005009702,5,82819407,82822164,1,BUD31 homolog [Source:NCBI gene;Acc:115606812],BUD31,protein_coding,92,,,,,,,,,,,,,,,,,,,321,ENSCJPG00005001340,14,4417937,4424328,-1,PDGFA associated protein 1 [Source:NCBI gene;Acc:107320631],PDAP1,protein_coding,ENSCJPG00005001343,14,4425156,4426600,1,BUD31 homolog [Source:NCBI gene;Acc:107320632],BUD31,protein_coding,828,,,,,,,,,,,,,,,,,,
856,ENSGALG00010019041,14,11901344,11954071,-1,katanin interacting protein [Source:HGNC Symbol;Acc:HGNC:29068],KATNIP,protein_coding,ENSGALG00010019067,14,11954229,11992357,1,general transcription factor IIIC subunit 1 [Source:HGNC Symbol;Acc:HGNC:4664],GTF3C1,protein_coding,158,,,,,,,,,,,,,,,,,,,451,ENSTGUG00000004540,14,13558063,13614657,-1,KIAA0556 ortholog [Source:NCBI gene;Acc:100229239],KATNIP,protein_coding,ENSTGUG00000004504,14,13614693,13654061,1,general transcription factor IIIC subunit 1 [Source:NCBI gene;Acc:100219666],GTF3C1,protein_coding,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,ENSGALG00010016738,14,12334192,12351320,1,"N-alpha-acetyltransferase 60, NatF catalytic subunit [Source:HGNC Symbol;Acc:HGNC:25875]",NAA60,protein_coding,ENSGALG00010016756,14,12351849,12354617,-1,nudix hydrolase 16 like 1 [Source:NCBI gene (formerly Entrezgene);Acc:395557],NUDT16L1,protein_coding,529,,,,,,,,,,,,,,,,,,,458,ENSTGUG00000004161,14,14022925,14041629,1,"N(alpha)-acetyltransferase 60, NatF catalytic subunit [Source:NCBI gene;Acc:100232229]",NAA60,protein_coding,ENSTGUG00000004158,14,14042151,14045008,-1,"Taeniopygia guttata nudix hydrolase 16 like 1 (NUDT16L1), mRNA. [Source:RefSeq mRNA;Acc:NM_001245301]",NUDT16L1,protein_coding,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,ENSSHBG00005003231,5,75518836,75540783,1,"N(alpha)-acetyltransferase 60, NatF catalytic subunit [Source:NCBI gene;Acc:115606775]",NAA60,protein_coding,ENSSHBG00005003244,5,75541324,75544278,-1,nudix hydrolase 16 like 1 [Source:NCBI gene;Acc:115607051],NUDT16L1,protein_coding,541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,ENSGALG00010024425,15,682947,685571,1,mitochondrial ribosomal protein L40 [Source:HGNC Symbol;Acc:HGNC:14491],MRPL40,protein_coding,ENSGALG00010024427,15,685529,686845,-1,chromosome 22 open reading frame 39 [Source:HGNC Symbol;Acc:HGNC:27012],C22orf39,protein_coding,42,,,,,,,,,,,,,,,,,,,504,ENSTGUG00000008534,15,6474504,6478041,1,mitochondrial ribosomal protein L40 [Source:NCBI gene;Acc:100232365],MRPL40,protein_coding,ENSTGUG00000008531,15,6477762,6478790,-1,chromosome 15 C22orf39 homolog [Source:NCBI gene;Acc:105760916],C22orf39,protein_coding,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,ENSGALG00010024439,15,687020,693415,-1,ubiquitin fusion degradation 1 like (yeast) [Source:NCBI gene (formerly Entrezgene);Acc:374186],UFD1L,protein_coding,ENSGALG00010024480,15,693303,706013,1,cell division cycle 45 [Source:HGNC Symbol;Acc:HGNC:1739],CDC45,protein_coding,112,,,,,,,,,,,,,,,,,,,505,ENSTGUG00000008505,15,6478943,6485717,-1,ubiquitin recognition factor in ER associated degradation 1 [Source:NCBI gene;Acc:100222855],UFD1,protein_coding,ENSTGUG00000008459,15,6484960,6497876,1,cell division cycle 45 [Source:HGNC Symbol;Acc:HGNC:1739],CDC45,protein_coding,757,,,,,,,,,,,,,,,,,,,317,ENSMGAG00000001181,17,708728,713689,-1,ubiquitin recognition factor in ER associated degradation 1 [Source:HGNC Symbol;Acc:HGNC:12520],UFD1,protein_coding,ENSMGAG00000001215,17,714314,726475,1,cell division cycle 45 [Source:HGNC Symbol;Acc:HGNC:1739],CDC45,protein_coding,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,ENSCJPG00005019054,15,514435,519071,-1,ubiquitin recognition factor in ER associated degradation 1 [Source:NCBI gene;Acc:107321039],UFD1,protein_coding,ENSCJPG00005019055,15,519474,527875,1,cell division cycle 45 [Source:NCBI gene;Acc:107321035],CDC45,protein_coding,403,,,,,,,,,,,,,,,,,,
945,ENSGALG00010026259,15,8302358,8330833,1,mediator complex subunit 15 [Source:HGNC Symbol;Acc:HGNC:14248],MED15,protein_coding,ENSGALG00010026295,15,8330067,8347308,-1,sphingomyelin phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:32949],SMPD4,protein_coding,766,,,,,,,,,,,,,,,,,,,488,ENSTGUG00000010134,15,2761945,2788429,1,mediator complex subunit 15 [Source:HGNC Symbol;Acc:HGNC:14248],MED15,protein_coding,ENSTGUG00000010118,15,2788696,2805389,-1,sphingomyelin phosphodiesterase 4 [Source:NCBI gene;Acc:100225712],SMPD4,protein_coding,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,ENSGALG00010000301,15,11038406,11039861,-1,"ubiquinol-cytochrome c reductase, complex III subunit X [Source:NCBI gene (formerly Entrezgene);Acc:770937]",UQCR10,protein_coding,ENSGALG00010000307,15,11039942,11052800,1,zinc finger matrin-type 5 [Source:NCBI gene (formerly Entrezgene);Acc:417017],ZMAT5,protein_coding,81,,,,,,,,,,,,,,,,,,,479,ENSTGUG00000010494,15,1772625,1774037,-1,"Taeniopygia guttata ubiquinol-cytochrome c reductase, complex III subunit X (UQCR10), mRNA. [Source:RefSeq mRNA;Acc:NM_001197178]",UQCR10,protein_coding,ENSTGUG00000010490,15,1774047,1804789,1,zinc finger matrin-type 5 [Source:NCBI gene;Acc:100223471],ZMAT5,protein_coding,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,ENSCJPG00005015635,15,9850894,9853091,-1,cytochrome b-c1 complex subunit 9 [Source:NCBI gene;Acc:107321486],UQCR10,protein_coding,ENSCJPG00005015636,15,9853361,9861203,1,zinc finger matrin-type 5 [Source:NCBI gene;Acc:107321485],ZMAT5,protein_coding,270,,,,,,,,,,,,,,,,,,
981,ENSGALG00010000186,15,11112860,11124399,1,THO complex 5 [Source:NCBI gene (formerly Entrezgene);Acc:417019],THOC5,protein_coding,ENSGALG00010000191,15,11125255,11130431,-1,neurofilament heavy chain [Source:HGNC Symbol;Acc:HGNC:7737],NEFH,protein_coding,856,,,,,,,,,,,,,,,,,,,481,ENSTGUG00000010446,15,1866915,1881660,1,THO complex 5 [Source:NCBI gene;Acc:100228184],THOC5,protein_coding,ENSTGUG00000021730,15,1882539,1890018,-1,neurofilament heavy [Source:HGNC Symbol;Acc:HGNC:7737],NEFH,protein_coding,879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,ENSGALG00010027976,17,2204935,2230389,-1,leucine rich repeat and sterile alpha motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25135],LRSAM1,protein_coding,ENSGALG00010027979,17,2230187,2232912,1,ribosomal protein L12 [Source:NCBI gene (formerly Entrezgene);Acc:417264],RPL12,protein_coding,202,,,,,,,,,,,,,,,,,,,570,ENSTGUG00000002664,17,1437196,1462001,-1,leucine rich repeat and sterile alpha motif containing 1 [Source:NCBI gene;Acc:100226262],LRSAM1,protein_coding,ENSTGUG00000002676,17,1462516,1465073,1,ribosomal protein L12 [Source:NCBI gene;Acc:100223396],RPL12,protein_coding,515,,,,,,,,,,,,,,,,,,,364,ENSMGAG00000001665,19,1407114,1431918,-1,,,protein_coding,ENSMGAG00000001755,19,1432410,1434659,1,,,protein_coding,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437,ENSCJPG00005016287,17,858311,873077,-1,leucine rich repeat and sterile alpha motif containing 1 [Source:NCBI gene;Acc:107321590],LRSAM1,protein_coding,ENSCJPG00005016418,17,873993,876116,1,ribosomal protein L12 [Source:NCBI gene;Acc:107321600],RPL12,protein_coding,916,262,ENSFALG00000005450,17,1461886,1493257,-1,,,protein_coding,ENSFALG00000005469,17,1494075,1497309,1,,,protein_coding,818
1047,ENSGALG00010028110,17,5657966,5662417,-1,coenzyme Q4 [Source:HGNC Symbol;Acc:HGNC:19693],COQ4,protein_coding,ENSGALG00010028111,17,5661971,5666823,1,TruB pseudouridine synthase family member 2 [Source:HGNC Symbol;Acc:HGNC:17170],TRUB2,protein_coding,446,,,,,,,,,,,,,,,,,,,582,ENSTGUG00000003696,17,5823658,5829508,-1,coenzyme Q4 [Source:NCBI gene;Acc:100218588],COQ4,protein_coding,ENSTGUG00000003704,17,5829341,5833006,1,"Taeniopygia guttata TruB pseudouridine synthase family member 2 (TRUB2), mRNA. [Source:RefSeq mRNA;Acc:NM_001245178]",TRUB2,protein_coding,167,323,ENSAPLG00000022910,18,5375963,5377447,-1,,,protein_coding,ENSAPLG00000009254,18,5377243,5381212,1,TruB pseudouridine synthase family member 2 [Source:HGNC Symbol;Acc:HGNC:17170],TRUB2,protein_coding,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443,ENSCJPG00005019947,17,3727448,3731223,-1,coenzyme Q4 [Source:NCBI gene;Acc:107321794],COQ4,protein_coding,ENSCJPG00005019948,17,3730520,3732907,1,TruB pseudouridine synthase family member 2 [Source:NCBI gene;Acc:107321792],TRUB2,protein_coding,703,269,ENSFALG00000001363,17,5943430,5948870,-1,coenzyme Q4 [Source:HGNC Symbol;Acc:HGNC:19693],COQ4,protein_coding,ENSFALG00000001364,17,5949170,5953249,1,TruB pseudouridine synthase family member 2 [Source:HGNC Symbol;Acc:HGNC:17170],TRUB2,protein_coding,300
1054,ENSGALG00010028593,17,5994885,6005591,-1,dolichol kinase [Source:NCBI gene (formerly Entrezgene);Acc:417199],DOLK,protein_coding,ENSGALG00010028597,17,6005623,6032258,1,nucleoporin 188 [Source:NCBI gene (formerly Entrezgene);Acc:417198],NUP188,protein_coding,32,,,,,,,,,,,,,,,,,,,590,ENSTGUG00000004256,17,6175306,6179581,-1,dolichol kinase [Source:NCBI gene;Acc:100217598],DOLK,protein_coding,ENSTGUG00000004258,17,6179665,6205571,1,nucleoporin 188 [Source:NCBI gene;Acc:100230057],NUP188,protein_coding,84,,,,,,,,,,,,,,,,,,,370,ENSMGAG00000015779,19,5220123,5221694,-1,dolichol kinase [Source:HGNC Symbol;Acc:HGNC:23406],DOLK,protein_coding,ENSMGAG00000004695,19,5221998,5251379,1,nucleoporin 188 [Source:HGNC Symbol;Acc:HGNC:17859],NUP188,protein_coding,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,ENSCJPG00005020310,17,4031478,4033025,-1,dolichol kinase [Source:NCBI gene;Acc:107321749],DOLK,protein_coding,ENSCJPG00005020311,17,4034002,4056685,1,nucleoporin 188 [Source:NCBI gene;Acc:107321746],NUP188,protein_coding,977,,,,,,,,,,,,,,,,,,
1085,ENSGALG00010027628,17,8323646,8326375,-1,piercer of microtubule wall 1 [Source:HGNC Symbol;Acc:HGNC:28435],C9orf116,protein_coding,ENSGALG00010027638,17,8326037,8327967,1,mitochondrial ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:14495],MRPS2,protein_coding,338,,,,,,,,,,,,,,,,,,,612,ENSTGUG00000024729,17,8936123,8936970,-1,chromosome 9 open reading frame 116 [Source:HGNC Symbol;Acc:HGNC:28435],PIERCE1,protein_coding,ENSTGUG00000006064,17,8937332,8938370,1,mitochondrial ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:14495],MRPS2,protein_coding,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1926,ENSSHBG00005015576,18,1098709,1099331,-1,chromosome 9 open reading frame 116 [Source:HGNC Symbol;Acc:HGNC:28435],PIERCE1,protein_coding,ENSSHBG00005015581,18,1099469,1101127,1,mitochondrial ribosomal protein S2 [Source:NCBI gene;Acc:115616887],MRPS2,protein_coding,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
